<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20210104,000000,5926.0000000,6050.0000000,5926.0000000,5988.0000000,2326
AKRN,D,20210105,000000,5990.0000000,6042.0000000,5972.0000000,5980.0000000,2841
AKRN,D,20210106,000000,5982.0000000,6038.0000000,5950.0000000,5992.0000000,2846
AKRN,D,20210108,000000,6010.0000000,6030.0000000,5992.0000000,5996.0000000,1601
AKRN,D,20210111,000000,6008.0000000,6032.0000000,5994.0000000,6004.0000000,1740
AKRN,D,20210112,000000,6014.0000000,6028.0000000,5968.0000000,5970.0000000,1946
AKRN,D,20210113,000000,5970.0000000,6030.0000000,5936.0000000,6014.0000000,9873
AKRN,D,20210114,000000,6024.0000000,6038.0000000,5940.0000000,5960.0000000,4392
AKRN,D,20210115,000000,5958.0000000,5990.0000000,5948.0000000,5952.0000000,3018
AKRN,D,20210118,000000,5960.0000000,6010.0000000,5940.0000000,5982.0000000,2475
AKRN,D,20210119,000000,6010.0000000,6020.0000000,5960.0000000,5982.0000000,3748
AKRN,D,20210120,000000,5980.0000000,6014.0000000,5976.0000000,5986.0000000,916
AKRN,D,20210121,000000,6020.0000000,6020.0000000,5942.0000000,5960.0000000,1565
AKRN,D,20210122,000000,5960.0000000,6020.0000000,5948.0000000,5984.0000000,2191
AKRN,D,20210125,000000,5984.0000000,6050.0000000,5960.0000000,6040.0000000,3934
AKRN,D,20210126,000000,6038.0000000,6114.0000000,6026.0000000,6068.0000000,3292
AKRN,D,20210127,000000,6100.0000000,6116.0000000,5986.0000000,6018.0000000,4852
AKRN,D,20210128,000000,6010.0000000,6116.0000000,5950.0000000,6116.0000000,8276
AKRN,D,20210129,000000,6070.0000000,6120.0000000,6030.0000000,6116.0000000,3382
AKRN,D,20210201,000000,6092.0000000,6108.0000000,6040.0000000,6062.0000000,3274
AKRN,D,20210202,000000,6060.0000000,6106.0000000,6060.0000000,6096.0000000,1906
AKRN,D,20210203,000000,6090.0000000,6120.0000000,6062.0000000,6102.0000000,2431
AKRN,D,20210204,000000,6096.0000000,6142.0000000,6092.0000000,6122.0000000,1938
AKRN,D,20210205,000000,6124.0000000,6162.0000000,6086.0000000,6090.0000000,2811
AKRN,D,20210208,000000,6120.0000000,6130.0000000,6070.0000000,6084.0000000,1510
AKRN,D,20210209,000000,6116.0000000,6116.0000000,6000.0000000,6006.0000000,4657
AKRN,D,20210210,000000,6010.0000000,6064.0000000,6000.0000000,6008.0000000,2523
AKRN,D,20210211,000000,6020.0000000,6040.0000000,6004.0000000,6030.0000000,1746
AKRN,D,20210212,000000,6024.0000000,6046.0000000,5964.0000000,6036.0000000,1993
AKRN,D,20210215,000000,6042.0000000,6080.0000000,6026.0000000,6060.0000000,2447
AKRN,D,20210216,000000,6068.0000000,6092.0000000,6022.0000000,6090.0000000,2440
AKRN,D,20210217,000000,6090.0000000,6094.0000000,6024.0000000,6050.0000000,1446
AKRN,D,20210218,000000,6048.0000000,6066.0000000,5990.0000000,5990.0000000,3471
AKRN,D,20210219,000000,5988.0000000,6048.0000000,5902.0000000,6008.0000000,3927
AKRN,D,20210220,000000,6034.0000000,6038.0000000,6004.0000000,6016.0000000,591
AKRN,D,20210222,000000,6030.0000000,6038.0000000,5952.0000000,5980.0000000,3441
AKRN,D,20210224,000000,5978.0000000,6054.0000000,5960.0000000,6020.0000000,3149
AKRN,D,20210225,000000,6040.0000000,6100.0000000,5982.0000000,6030.0000000,1546
AKRN,D,20210226,000000,6022.0000000,6032.0000000,5988.0000000,5990.0000000,1191
AKRN,D,20210301,000000,6006.0000000,6018.0000000,5990.0000000,5992.0000000,856
AKRN,D,20210302,000000,6006.0000000,6046.0000000,5990.0000000,6032.0000000,2087
AKRN,D,20210303,000000,6048.0000000,6048.0000000,5990.0000000,6000.0000000,1208
AKRN,D,20210304,000000,6000.0000000,6008.0000000,5964.0000000,5982.0000000,1365
AKRN,D,20210305,000000,5968.0000000,6010.0000000,5968.0000000,5996.0000000,752
AKRN,D,20210309,000000,6018.0000000,6018.0000000,5960.0000000,6010.0000000,1597
AKRN,D,20210310,000000,6008.0000000,6010.0000000,5982.0000000,6004.0000000,918
AKRN,D,20210311,000000,6006.0000000,6010.0000000,5992.0000000,6000.0000000,538
AKRN,D,20210312,000000,6014.0000000,6016.0000000,5990.0000000,5994.0000000,703
AKRN,D,20210315,000000,6004.0000000,6010.0000000,5984.0000000,5986.0000000,1085
AKRN,D,20210316,000000,5980.0000000,6016.0000000,5980.0000000,6002.0000000,1324
AKRN,D,20210317,000000,5990.0000000,6010.0000000,5980.0000000,5990.0000000,849
AKRN,D,20210318,000000,6010.0000000,6010.0000000,5990.0000000,5992.0000000,828
AKRN,D,20210319,000000,5952.0000000,6008.0000000,5952.0000000,5990.0000000,1169
AKRN,D,20210322,000000,5974.0000000,6002.0000000,5966.0000000,5988.0000000,1252
AKRN,D,20210323,000000,5992.0000000,6048.0000000,5982.0000000,6044.0000000,6605
