<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.FDX-RM:TQBD,D,20211005,000000,225.6500000,225.6500000,225.6500000,225.6500000,5
MOEX.FDX-RM:TQBD,D,20211006,000000,221.4300000,221.4300000,221.3600000,221.3600000,186
MOEX.FDX-RM:TQBD,D,20211008,000000,224.3000000,224.3000000,224.3000000,224.3000000,1
MOEX.FDX-RM:TQBD,D,20211015,000000,229.3300000,229.3300000,229.0800000,229.0800000,298
MOEX.FDX-RM:TQBD,D,20211018,000000,229.0000000,229.0000000,229.0000000,229.0000000,1
MOEX.FDX-RM:TQBD,D,20211019,000000,228.0000000,228.6700000,228.0000000,228.6700000,12
MOEX.FDX-RM:TQBD,D,20211022,000000,233.7500000,233.7500000,233.7500000,233.7500000,2
MOEX.FDX-RM:TQBD,D,20211025,000000,234.7800000,234.7800000,234.7800000,234.7800000,2
MOEX.FDX-RM:TQBD,D,20211027,000000,236.7200000,236.7200000,236.7200000,236.7200000,18
MOEX.FDX-RM:TQBD,D,20211101,000000,236.4100000,236.4100000,236.3500000,236.3500000,15
MOEX.FDX-RM:TQBD,D,20211105,000000,242.5000000,242.7000000,242.5000000,242.7000000,20
MOEX.FDX-RM:TQBD,D,20211216,000000,243.0000000,243.0000000,243.0000000,243.0000000,3
MOEX.FDX-RM:TQBD,D,20211217,000000,257.8500000,257.8500000,257.8500000,257.8500000,40
MOEX.FDX-RM:TQBD,D,20211227,000000,254.5000000,254.5000000,254.5000000,254.5000000,1
MOEX.FDX-RM:TQBD,D,20211230,000000,258.3900000,259.0100000,258.3900000,259.0100000,5
