<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOG-RM,D,20210104,000000,130050.0000000,130050.0000000,127000.0000000,127864.0000000,76
GOOG-RM,D,20210105,000000,128919.0000000,130001.0000000,128404.0000000,128404.0000000,72
GOOG-RM,D,20210106,000000,127795.0000000,128544.0000000,125250.0000000,128060.0000000,185
GOOG-RM,D,20210108,000000,131895.0000000,133707.0000000,130350.0000000,133707.0000000,303
GOOG-RM,D,20210111,000000,133953.0000000,134501.0000000,132118.0000000,132118.0000000,125
GOOG-RM,D,20210112,000000,132118.0000000,132118.0000000,127273.0000000,128150.0000000,109
GOOG-RM,D,20210113,000000,128999.0000000,130033.0000000,128321.0000000,129000.0000000,131
GOOG-RM,D,20210114,000000,128807.0000000,130150.0000000,127264.0000000,127766.0000000,69
GOOG-RM,D,20210115,000000,128141.0000000,128961.0000000,127100.0000000,128600.0000000,90
GOOG-RM,D,20210119,000000,130149.0000000,132856.0000000,127706.0000000,132400.0000000,194
GOOG-RM,D,20210120,000000,132401.0000000,139754.0000000,132000.0000000,139754.0000000,120
GOOG-RM,D,20210121,000000,139754.0000000,142468.0000000,139466.0000000,140208.0000000,93
GOOG-RM,D,20210122,000000,140141.0000000,143618.0000000,139384.0000000,143417.0000000,114
GOOG-RM,D,20210125,000000,143000.0000000,146118.0000000,141500.0000000,141928.0000000,90
GOOG-RM,D,20210126,000000,143395.0000000,144614.0000000,142055.0000000,144359.0000000,55
GOOG-RM,D,20210127,000000,146470.0000000,146470.0000000,137300.0000000,138008.0000000,270
GOOG-RM,D,20210128,000000,138284.0000000,144000.0000000,138284.0000000,141573.0000000,112
GOOG-RM,D,20210129,000000,141600.0000000,141600.0000000,137600.0000000,138421.0000000,108
GOOG-RM,D,20210201,000000,139119.0000000,146128.0000000,139119.0000000,144689.0000000,157
GOOG-RM,D,20210202,000000,145638.0000000,148136.0000000,144964.0000000,148136.0000000,170
GOOG-RM,D,20210203,000000,153000.0000000,160505.0000000,153000.0000000,158180.0000000,802
GOOG-RM,D,20210204,000000,158180.0000000,158180.0000000,154627.0000000,155404.0000000,94
GOOG-RM,D,20210205,000000,155845.0000000,156700.0000000,153959.0000000,156074.0000000,71
GOOG-RM,D,20210208,000000,156469.0000000,157550.0000000,154455.0000000,154750.0000000,121
GOOG-RM,D,20210209,000000,154640.0000000,155787.0000000,154123.0000000,154500.0000000,59
GOOG-RM,D,20210210,000000,154500.0000000,154829.0000000,153000.0000000,154600.0000000,45
GOOG-RM,D,20210211,000000,155064.0000000,155155.0000000,153100.0000000,153792.0000000,65
GOOG-RM,D,20210212,000000,155241.0000000,156054.0000000,154015.0000000,154500.0000000,127
GOOG-RM,D,20210216,000000,155600.0000000,158002.0000000,155150.0000000,156195.0000000,122
GOOG-RM,D,20210217,000000,156001.0000000,157560.0000000,155619.0000000,156853.0000000,65
GOOG-RM,D,20210218,000000,156894.0000000,157268.0000000,155500.0000000,157268.0000000,181
GOOG-RM,D,20210219,000000,156457.0000000,157534.0000000,155874.0000000,156421.0000000,59
GOOG-RM,D,20210222,000000,155747.0000000,155800.0000000,154001.0000000,154015.0000000,40
GOOG-RM,D,20210224,000000,150935.0000000,154000.0000000,150527.0000000,154000.0000000,77
GOOG-RM,D,20210225,000000,154137.0000000,154553.0000000,150000.0000000,152312.0000000,266
GOOG-RM,D,20210226,000000,149713.0000000,154200.0000000,149300.0000000,152540.0000000,91
GOOG-RM,D,20210301,000000,153171.0000000,154441.0000000,152090.0000000,154441.0000000,24
GOOG-RM,D,20210302,000000,155222.0000000,155239.0000000,153519.0000000,153527.0000000,27
GOOG-RM,D,20210303,000000,154044.0000000,154044.0000000,149500.0000000,149500.0000000,21
GOOG-RM,D,20210304,000000,148962.0000000,154342.0000000,148076.0000000,153236.0000000,116
GOOG-RM,D,20210305,000000,152516.0000000,156466.0000000,150970.0000000,156466.0000000,90
GOOG-RM,D,20210309,000000,152591.0000000,153550.0000000,151594.0000000,152559.0000000,70
GOOG-RM,D,20210310,000000,151144.0000000,152900.0000000,150418.0000000,152093.0000000,83
GOOG-RM,D,20210311,000000,152569.0000000,155500.0000000,152400.0000000,155500.0000000,86
GOOG-RM,D,20210312,000000,154182.0000000,154182.0000000,150500.0000000,150921.0000000,84
GOOG-RM,D,20210315,000000,150529.0000000,151644.0000000,149424.0000000,150700.0000000,140
GOOG-RM,D,20210316,000000,151359.0000000,154209.0000000,150500.0000000,152789.0000000,108
GOOG-RM,D,20210317,000000,153221.0000000,155000.0000000,152275.0000000,153839.0000000,166
GOOG-RM,D,20210318,000000,154338.0000000,154338.0000000,151676.0000000,151901.0000000,93
GOOG-RM,D,20210319,000000,151845.0000000,152308.0000000,150060.0000000,151852.0000000,31
GOOG-RM,D,20210322,000000,152222.0000000,154000.0000000,151800.0000000,153157.0000000,99
GOOG-RM,D,20210323,000000,153500.0000000,157629.0000000,153500.0000000,156599.0000000,179
GOOG-RM,D,20210324,000000,156367.0000000,158000.0000000,156367.0000000,156510.0000000,28
GOOG-RM,D,20210325,000000,156012.0000000,156531.0000000,154038.0000000,155792.0000000,78
GOOG-RM,D,20210326,000000,155385.0000000,155705.0000000,153237.0000000,153717.0000000,90
GOOG-RM,D,20210329,000000,154174.0000000,155445.0000000,153504.0000000,155290.0000000,15
GOOG-RM,D,20210330,000000,155290.0000000,157000.0000000,155290.0000000,155861.0000000,29
GOOG-RM,D,20210331,000000,155643.0000000,158059.0000000,154945.0000000,156615.0000000,66
GOOG-RM,D,20210401,000000,158566.0000000,163000.0000000,158158.0000000,163000.0000000,88
GOOG-RM,D,20210405,000000,163000.0000000,170683.0000000,151400.0000000,170293.0000000,155
GOOG-RM,D,20210406,000000,168981.0000000,172200.0000000,168981.0000000,171797.0000000,61
GOOG-RM,D,20210407,000000,173109.0000000,174397.0000000,172230.0000000,173170.0000000,50
GOOG-RM,D,20210408,000000,173100.0000000,175642.0000000,173100.0000000,173829.0000000,46
GOOG-RM,D,20210409,000000,175109.0000000,176642.0000000,174600.0000000,176642.0000000,34
GOOG-RM,D,20210412,000000,177737.0000000,178124.0000000,173501.0000000,174590.0000000,136
